name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Beijing,China",01-04-2007,15.1,7.1,10.8,15.1,4.4,10.4,-5.9,31.93,0,,0,,,,,43.2,,1017.3,34.6,15,,,0,,2007-04-01T05:59:47,2007-04-01T18:37:54,0.49,Partially cloudy,Partly cloudy throughout the day.,wind,54511099999
"Beijing,China",02-04-2007,13.1,5.1,8.8,13.1,0.6,6.6,-11.6,23.27,0,,0,,,,,43.2,,1027.3,3.8,16.7,,,0,,2007-04-02T05:58:11,2007-04-02T18:38:54,0.5,Clear,Clear conditions throughout the day.,wind,54511099999
"Beijing,China",03-04-2007,19.4,3.1,12.2,19.4,1.1,11.5,-12.6,18.41,0,,0,,,,,32.4,,1022.4,0,16.7,,,0,,2007-04-03T05:56:35,2007-04-03T18:39:55,0.51,Clear,Clear conditions throughout the day.,wind,54511099999
"Beijing,China",04-04-2007,14.7,5.1,9.3,14.7,1.9,8.5,-6.6,33.4,0,,0,,,,,25.2,,1023.7,22.1,15,,,0,,2007-04-04T05:54:59,2007-04-04T18:40:56,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
"Beijing,China",05-04-2007,13.6,6.1,9.5,13.6,5.3,9.3,-3.7,40.21,0,,0,,,,,7.2,,1019.1,21.7,9.8,,,0,,2007-04-05T05:53:24,2007-04-05T18:41:56,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
"Beijing,China",06-04-2007,21.1,3.9,13,21.1,1.4,12.5,-2.3,40.39,0,,0,,,,,28.8,,1020.3,17.1,11.5,,,0,,2007-04-06T05:51:49,2007-04-06T18:42:57,0.56,Clear,Clear conditions throughout the day.,clear-day,54511099999
"Beijing,China",07-04-2007,18.6,7.1,13.9,18.6,5.8,13.8,-7.4,23.82,0,,0,,,,,21.6,,1022.3,6.7,16.3,,,0,,2007-04-07T05:50:14,2007-04-07T18:43:57,0.6,Clear,Clear conditions throughout the day.,clear-day,54511099999
"Beijing,China",08-04-2007,20.1,6.1,13.8,20.1,4.6,13.6,-8.5,22.23,0,,0,,,,,21.6,,1020.5,1.7,16.1,,,0,,2007-04-08T05:48:40,2007-04-08T18:44:58,0.64,Clear,Clear conditions throughout the day.,clear-day,54511099999
"Beijing,China",09-04-2007,22.1,8.1,15.3,22.1,5.6,15.2,0,36.47,0,,0,,,,,18,,1012.5,13.8,9.9,,,0,,2007-04-09T05:47:07,2007-04-09T18:45:58,0.69,Clear,Clear conditions throughout the day.,clear-day,54511099999
"Beijing,China",10-04-2007,17.4,8.4,13.1,17.4,8.1,13.1,-0.3,41.42,0,,0,,,,,21.6,,1019.8,23.3,10.3,,,0,,2007-04-10T05:45:34,2007-04-10T18:46:59,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,54511099999
